index,class
271,Happy music
270,Wedding music
269,Dance music
268,Christmas music
267,Video game music
266,Lullaby
265,Soundtrack music
264,Jingle (music)
263,Theme music
262,Background music
261,Song
260,Independent music
259,Traditional music
258,Ska
257,Music of Bollywood
256,Carnatic music
255,Music of Asia
254,Gospel music
253,Christian music
252,Afrobeat
251,Music of Africa
250,A capella
249,Vocal music
248,New-age music
247,Music for children
246,Blues
245,Flamenco
244,Salsa music
243,Music of Latin America
242,Trance music
241,Ambient music
240,Electronic dance music
239,Electronica
238,Drum and bass
237,Dubstep
236,Techno
235,House music
234,Electronic music
233,Opera
232,Classical music
231,Disco
230,Jazz
229,Middle Eastern music
228,Folk music
227,Funk
226,Bluegrass
225,Swing music
224,Country
223,Reggae
222,Soul music
221,Rhythm and blues
220,Psychedelic rock
219,Rock and roll
218,Progressive rock
217,Grunge
216,Punk rock
215,Heavy metal
214,Rock music
213,Beatboxing
212,Hip hop music
211,Pop music
210,Scratching (performance technique)
209,Singing bowl
208,Theremin
207,Shofar
206,Didgeridoo
205,Bagpipes
204,Accordion
203,Harmonica
202,Change ringing (campanology)
201,Wind chime
200,Chime
199,Tuning fork
198,Bicycle bell
197,Jingle bell
196,Church bell
195,Bell
194,Harp
193,Clarinet
192,Saxophone
191,Flute
190,"Wind instrument, woodwind instrument"
189,Double bass
188,Cello
187,Pizzicato
186,"Violin, fiddle"
185,String section
184,Bowed string instrument
183,Trombone
182,Trumpet
181,French horn
180,Brass instrument
179,Orchestra
178,Steelpan
177,Vibraphone
176,Glockenspiel
175,"Marimba, xylophone"
174,Mallet percussion
173,Tubular bells
172,Gong
171,Maraca
170,Rattle (instrument)
169,Tambourine
168,Wood block
167,Hi-hat
166,Cymbal
165,Tabla
164,Timpani
163,Bass drum
162,Drum roll
161,Rimshot
160,Snare drum
159,Drum
158,Drum machine
157,Drum kit
156,Percussion
155,Harpsichord
154,Sampler
153,Synthesizer
152,Hammond organ
151,Electronic organ
150,Organ
149,Electric piano
148,Piano
147,Keyboard (musical)
146,Ukulele
145,Zither
144,Mandolin
143,Sitar
142,Banjo
141,Strum
140,Tapping (guitar technique)
139,"Steel guitar, slide guitar"
138,Acoustic guitar
137,Bass guitar
136,Electric guitar
135,Guitar
134,Plucked string instrument
133,Musical instrument
132,Music
131,Whale vocalization
130,Rattle
129,Snake
128,Croak
127,Frog
126,"Bee, wasp, etc."
125,Buzz
124,"Fly, housefly"
123,Mosquito
122,Cricket
121,Insect
120,Patter
119,Mouse
118,"Rodents, rats, mice"
117,"Canidae, dogs, wolves"
116,"Bird flight, flapping wings"
115,Hoot
114,Owl
113,Caw
112,Crow
111,Coo
110,"Pigeon, dove"
109,Squawk
108,"Chirp, tweet"
107,"Bird vocalization, bird call, bird song"
106,Bird
105,Roar
104,"Roaring cats (lions, tigers)"
103,Wild animals
102,Honk
101,Goose
100,Quack
99,Duck
98,Gobble
97,Turkey
96,"Crowing, cock-a-doodle-doo"
95,Cluck
94,"Chicken, rooster"
93,Fowl
92,Sheep
91,Bleat
90,Goat
89,Oink
88,Pig
87,Cowbell
86,Moo
85,"Cattle, bovinae"
84,"Neigh, whinny"
83,Clip-clop
82,Horse
81,"Livestock, farm animals, working animals"
80,Caterwaul
79,Hiss
78,Meow
77,Purr
76,Cat
75,Whimper (dog)
74,Growling
73,Bow-wow
72,Howl
71,Yip
70,Bark
69,Dog
68,"Domestic animals, pets"
67,Animal
66,Children playing
65,"Hubbub, speech noise, speech babble"
64,Crowd
63,Chatter
62,Applause
61,Cheering
60,Heart murmur
59,"Heart sounds, heartbeat"
58,Clapping
57,Finger snapping
56,Hands
55,Fart
54,Hiccup
53,"Burping, eructation"
52,Stomach rumble
51,Gargling
50,Biting
49,"Chewing, mastication"
48,"Walk, footsteps"
47,Shuffle
46,Run
45,Sniff
44,Sneeze
43,Throat clearing
42,Cough
41,Snort
40,Pant
39,Gasp
38,Snoring
37,Wheeze
36,Breathing
35,Whistling
34,Grunt
33,Groan
32,Humming
31,Rapping
30,Synthetic singing
29,Child singing
28,Mantra
27,Chant
26,Yodeling
25,Choir
24,Singing
23,Sigh
22,"Wail, moan"
21,Whimper
20,"Baby cry, infant cry"
19,"Crying, sobbing"
18,"Chuckle, chortle"
17,Belly laugh
16,Snicker
15,Giggle
14,Baby laughter
13,Laughter
12,Whispering
11,Screaming
10,Children shouting
9,Yell
8,Whoop
7,Bellow
6,Shout
5,Speech synthesizer
4,Babbling
3,"Narration, monologue"
2,Conversation
1,"Child speech, kid speaking"
0,Speech
